Afrikaans,Category,English_Definition,English_Term,IsiNdebele,IsiXhosa,IsiZulu,Sepedi,Sesotho,Setswana,Siswati,Tshivenda,Xitsonga
Vloedbesproeiing,                             Agriculture                                    ,Irrigation practice that spreads water from open field ditches and other conveyance systems.,Flood irrigation,Ithelelelo / Isezelo ngomsele / Ngekasa,"unkcenkceshelo ngokuvulela amanzi azihambele / unkcenkceshelo ngokuvulela isikhukhula samanzi
",Ukunisela / Ukuchelela ngamathantala,Nošetšo ka moela,Nosetso ka ho phallisa metsi,Nosetsotlele / Nosetsokelelo,Kunisela ngesikhukhula,Tsheledzo nga muelelo,Nceletoxindhambhi
Voedselgewas,                             Agriculture                                    ,See cash crop.,Food crop,Ukudla kokuthengisa,Isivuno sokutya,Izitshalo ezizodliwa,Dibjalo tša go lewa,Dijalo tsa dijo,Dijojwalwa tse di sa rekisiweng,Silimo sekutsengiswa,Tshilimelwa/tshizwalelwa u ḽa,Xirimiwa xo dyiwa
Graan,                             Agriculture                                    ,"Harvested produce of cereals, pulses, oil crops and legumes.",Grain,Iinthoro zokudla,Ukutya okuziinkozo,Okusanhlamvu,Leroro/dithoro,Dijothollo,Tlhaka; thoro,Lokusaluhlavu,Thoro,Ndzoho
Graanproduksie,                             Agriculture                                    ,Grain actually removed from the field.,Grain production,IsiVuno sokugcina seenThoro,Imveliso yokutya okuziinkozo,Umkhiqizo wokusanhlamvu,Tšweletšo ya dijothoro/leroro,Dijothollo tse kotutsweng; tlhahiso ya dijothollo,Ntshodikunothoro,Kukhicitwa kwalokusaluhlavu,Vhubveledzathoro,Ntshovelorivelendzoho
Hektaar,                            Agriculture                                     ,Metric unit of land measurement equivalent to 10 000 square metres.,Hectare,I-agere; ihagere,Ihektare,Ihektha,Hekethara,Hektara,Heketara,Lihekhithare,Hekithara,Hekitara/mogeni
Onkruiddoder,                            Agriculture                                     ,A substance / mixture of substances used to kill plants that are not wanted in a specific area. Synonym: weedkiller,Herbicide,Isibulalikhula,isibulala-khula,Isibulalikhula,Sebolayangwang / Sebolayasekoro,Sebolayalehola,Polayamofero / Hebisaete,Sibulalilukhula,Tshivhulahatsheṋe,Xidlayanhova
Nywerheidsgewas,                            Agriculture                                     ,"Any crop that provides material for industrial processes and products. Examples: cotton, flax, linen, etc.; tobacco; oilseeds such as sunflower, and beverages such as tea and coffee.",Industrial crops,Isivuno semikhiqizo / Iintjalo zokukhiqiza,"izityalo ezingaveliselwa kutya, izityalo zemizi mveliso, izityalo ezithi zisetyenzwe phambi kokuba zibenokusetyenziswa
",Isivuno esiguqulwa embonini,Dibunwa tša intaseteri,Dijalo tsa indasteri,Dijalelwatiriso,Sivuno semkhicito,Zwiliṅwa zwa nḓowetshumo,Swibyalwavumaki
Tussengeplante gewas,                            Agriculture                                     ,A crop planted between rows of another crop.,Inter-planted crop,Umfakelelo wesitjalo ; umfakelelositjalo,Uxabangelo lwesilimo,Ingxubezitshalo/amagabelozitshalo,Difakane/sebjalwamakgatheng a dingwe,Dijalellwa,Dijalwammogo,Silimo lesigabelwe,Tshimelaṱavhiwa vhukati ha zwiṅwe,Xirimiwa exikarhi ka xin’wana
Besproeiing,                            Agriculture                                     ,Artificial application of water to land to assist in the growing of crops and pastures.,Irrigation,Ithelelelo; isezelo,Unkcenkceshelo/ unkcenkcesho,Ukunisela/ ukuchelela ngenkasa,Nošetšo/tšheletšo,Nosetso,Nosetso,Kunisela,Tsheledzo,Ncheleto
Lewende hawe,                            Agriculture                                     ,"All animals or birds kept or reared mainly for agricultural purposes including cattle, sheep, goats, pigs, horses, poultry, rabbits, etc.",Livestock,Ifuyo,Imfuyo,Imfuyo,Leruo,Leruo,Diruiwa; leruo,Imfuyo,Zwifuwo,Swifuwo
Natuurboom,                            Agriculture                                     ,Forest tree that grows in its natural habitat.,Natural forest tree,Umuthi wehlathi lemvelo,Ihlathi lemveli,Isihlahla sehlathi lemvelo,Mohlare wa naga/mohlarešoka,Sefate sa moru wa tlhaho,Setlhare sa naga,Sihlahla selihlatsi lemvelo,TshivendaMuri wa ḓaka,Murhikhwati
Objektiewe opbrengsopname,                            Agriculture                                     ,A survey based on actual counts and measurements made in the field.,Objective yield survey,Umphumela wehlolombala,Uphando olwendeleyo lwemveliso,Uhlolomkhiqizongqo oluzimele,Tekolopuno ya maleba,Patlisiso e lekantsweng ya tlhahiso; dipatlisiso tse akaretsang tsa tlhahiso,Tlhomamisothobo,Lusaveyo ngco,Tsedzuluso ndivhiswakhaṋo,Mbalangontshoveloxikwatsa
Oliegewas,                            Agriculture                                  ,Annual plant whose seeds or fruit are used mainly for extraction of culinary and industrial oils.,Oil crop,Isitjalo se-oli,Isilimo seoyile,Isitshalo sikawoyela,Semelatšweletšaoli,Sejalo se hlahisang oli; dijalo tsa oli,Dijwalo tsa oli; dijwalooli,Silimo semafutsa,Tshiliṅwa tshibveledzaole,Xirimiwa xa oyili
Oliesaad,                            Agriculture                                  ,"Dry seeds harvested from annual oil-bearing crops used for food, feed, seed or industrial purposes.",Oilseeds,Imbewu ye-oli,Imbewu yeoyile,Imbewu kawoyela,Dipeutšweletšaoli,Peo e hlahisang oli,Dipeooli,Inhlanyelo yalokusamafutsa,Thoro khubaole / khwalaole,Timbewu ta oyili
Meerjarige gewasse,                            Agriculture                                  ,Crops that are not replanted after each harvest.,Perennial crops,Iinthelakanengi,Izilimo ezingaphelelwayo,Izitshalo eziphila iminyakana,Dibjalo tša mengwagantšhi,Dijalo tse kotulwang hangata,Matlhogelaruri,Tilimo taminyaka yonkhe,Zwiliṅwa zwikundagole,Swihanyamalembe
Plaagdoder,                            Agriculture                                  ,A substance / mixture of substances used to kill pests.,Pesticide,Isibulaliinunwana,isibulala-zinambuzane,Isibulalizinambuzane,Sebolayadikhunkhwane,Sebolayadikokonyana,Polayatshenekegi / Phesetisaete,Sibulalitilokatane,Tshivhulahazwikhokhonono,Xidlayaswitsotswana
Plantasiebome,                            Agriculture                                      ,"Trees that are planted by the holder on the holding, e.g. eucalyptus trees. See natural forest tree.",Plantation trees,Isimu yemithi,Imithi etyaliweyo,Imithi/ihlathi elitshaliwe,Dithokgwa tša go bjalwa/mehlare ya pholantheišene,Difate tse lenngweng,Polantasi,Lihlatsi lelihlanyelwe,Miritsiṅwa,Mirhi leyi byariweke
Peulgewas,                            Agriculture                                      ,"An annual leguminous plant yielding seeds used for food, feed, seed, and industrial purposes.",Pulses,Iinhlumaya,Iingxam/iiphalsi,Imiqumbe; umdumba,Diphotlwa,Dijalo tsa peo ya dikgaketla; monawa,Monawa,Lokusabhontjisi,ṋawa,-nyawa
Deelsaaiery,                            Agriculture                                      ,A system of agriculture or agricultural production in which a landowner allows a tenant to use the land in return for a share of the crop produced on the land.,Sharecropping,Irherho lokwabelana isivuno,ukulima isahlulo,Uhlelo lokulimisana,Punokabelano,Seahlolo / Karolelano ya tjhai,Thobokopanelo / Thobotlhakanelo / Thobopataganelo,Kukhokhelana ngesivuno,Ndimokhovhano,Ntshoveloavelano
Subjektiewe opbrengsopname,                            Agriculture                                      ,A survey based on information obtained from farmers about their fields based on opinion or experience.,Subjective yield survey,Umphumela wehlolosilinganiso,Uphando lwemveliso ngokwabalimi/ngokwamafama,Uhlolomkhiqizo olungazimele,Tekolopuno ka molemi,Patlisiso ya tlhahiso ka ditsebi; dipatlisiso tsa tlhahiso ka botsebi,Tekanyetsothobo,Kusaveya ngekuhlawumbelisa,Tsedzulusakhaṋo nga mbudzisa,Mbalangontshoveloxintokoto
Bestaansboer,                             Agriculture                                ,A person who produces crops primarily for own consumption.,Subsistence farmer,Umlimi ozilimelako,Umfama oziphilelayo,Umalimazidlele/umlimi ongathengisi,Molemelagoja,Molemirui ya sa rekiseng; moitemedi,Molemiruipotlana,Umlimi lolimela kutidlela,Muḓifuwelimuḓilimeli,Murimela-ku-dya
Drupbesproeiing,                             Agriculture                                ,See drip irrigation.,Trickle irrigation,Ithelelelo-thontiselo / Isezelo-thontiselo,unkcenkceshelo oluthontsizayo,Ukunisela samncithi,Nošetšo ka marothi,Nosetso ka ho rothisetsa,Nosetsothotho / Nosetsorothodi / Nosetsorothela,Kunisela ngematfonsi,Tsheledzo nga phophiso,Ncheletonthono
Onkruiddoder,                             Agriculture                                ,See herbicide.,Weedkiller,Isibulalikhula,isibulala-khula,Isibulalikhula,Sebolayangwang / Sebolayasekoro,Sebolayalehola,Polayamofero,Sibulalilukhula / Umutsi wekuhlakulela,Tshivhulahatsheṋe,Xidlayanhova
Opbrengs,                             Agriculture                                ,Amount of product harvested per unit area.,Yield,Ivezo,Imveliso/ isivuno,Umkhiqizo ngokwendawo evuniwe,Puno,Tlhahiso; tjhai,Thobo,Sivuno,Khaṋo,Ntshovelo
Opbrengs per geoeste oppervlakte,                           Agriculture                                  ,Yield from the area actually harvested.,Yield per harvested area,Ivezo ngesikhekhe esivuniweko,Imveliso yommandla ovuniweyo/ isivuno saloo ndawo,Umkhiqizo ngokwendawo evuniwe,Puno go tšwa temeng ye e bunnwego,Hlahiso ya serapa se kotutsweng; tjhai ya tshimo ka nngwe e kotutsweng,Thobo ka kgaolo e e kotutsweng,Sivuno ngekwendzawo levuniwe,Khaṋo kha vhupokaṋiwa,Ntshovelo ku ya hi ndhawu leyi tshoveriweke
Opbrengs per beplante oppervlakte,                           Agriculture                                  ,Yield from the area planted.,Yield per planted area,Ivezo ngesikhekhe esitjaliweko,Imveliso yommandla otyaliweyo/ isivuno sendawo etyaliweyo,Umkhiqizo ngokwendawo etshaliwe,Puno go tšwa temeng ye e lemilwego,Tlhahiso ya serapa se lenngweng; tjhai ya tshimo ka nngwe e jetsweng,Thobo ka kgaolo e e jwetsweng,Sivuno ngekwendzawo lehlanyeliwe,Khaṋo kha vhupo-/ṱavhiwa / gobelwa,Ntshovelo ku ya hi ndhawu leyi rimiweke
Kommissie,                      Business Enterprises                                  ,"An amount of money, usually linked to the quantity of the goods or services sold, paid to sales persons.",Commission,Inzuzosilinganiso / Ikhomitjhini,"ikhomishini, ucuntsu wemali enikezwa abo bancedisa umnini weshishini athengise iimpahla zakhe
",Ikhomishini,Khomišene,Khomishene,Poelo / Khomišene,Ikhomishini / Imbasha,Khomishini,Khomixini
Instelling (Registerstelsel),                      Business Enterprises                                  ,"An enterprise, or part of an enterprise, which is situated at a single location in which only a single productive activity is carried out or in which the principal productive activity accounts for most of the value added.",Establishment (System of Registers),Irhwebo / Ibhizinisi,"isebe, icandelo",Igatsha / Uphiko,Sehlongwa sa kgwebo / Setheo sa kgwebo,Karolo ya Lekala la kgwebo,Setheo,Indzawo yelibhizinisi / Iuphikomkhicito,Tshiimiswa tsha vhubindudzi,Xitumbuluxiwa
Inkomstebelasting,                      Business Enterprises                                  ,"Tax levied on the financial income of a person, cooperation or other legal entity.",Income tax,Umthelongeniso,irhafu yengeniso,Intela yemali engenile,Motšhelo wa letseno / Ditseno,Lekgetho la kuno/lekeno,Lekgethotseno,Intsela yemalingena,Muthelo wa mbuelo,Xibalo / Muthelo
Nywerheidsgebied,                      Business Enterprises                                  ,An area that predominantly has industry as its main land use.,Industrial area,Indawo yamabubulo,"indawo yoshishino, indawo yemizi-mveliso",Indawo yezimboni,Lefelo la intaseteri,Sebaka sa indasteri,Bodirelo / Difemeng,Emafemini,Mamagani / Dzifemeni / Nḓowetshumoni,Ndhawu ya swa vumaki
Netto verlies,                      Business Enterprises                              ,Excess of expenditure over sales revenue.,Net loss,Ilahlekelosalela,ilahleko iyonke,Imali elahleke ngqo / Imali ecwile ngqo,Tobokgwebong,Tahlehelo,Tatlhegelotshalelo,Imalilahleko,Ndozwo kha tsalela,Ndzahlekelontsongo
Netto wins,                      Business Enterprises                              ,Excess of sales revenue over the cost of production.,Net profit,Inzuzo,inzuzo iyonke,Inzuzongqo,Poelo kgwebong,Phaello,Morokotsotshalelo / Poelotshalelo,Imalinzuzo,Mbuelo kha tsalela,Mbuyelontsongo
Afsetpunt,                      Business Enterprises                              ,"A place of business for retailing goods / services. Examples: shop, market, service establishment, or other place, where goods and / or services are sold.",Outlet,Isitolo / Ivikili / Imakethe,indawo yokuthengisela,Indawo yokudayisela / Yokuhwebela,Borekišetšo,Sebaka sa kgwebo,Borekisetso / Thekisetso,Ligatja lelibhizinisi / Emakethe,Vhubindudzini,Vubindzulelo
Troshuis,                       Construction                                          ,"A freestanding property / house in a complex with a common boundary wall, but not sharing dwelling walls.",Cluster house,Indlubuthelelo,indlu ezimeleyo kwikhompleksi,Indlu esesidlaveleni,Ntlo ye e dikaneditšwego le tše dingwe,Ntlo e kgobokanong,Ntlosemmogo,"Indlu lesekhatsi kwesidlidli setindlu / Likhaya emkhatsini wemakhaya labiyelwe lutsango lunye / Inculumba
",Nnḓu ya tshigwadani / Nnḓu ire dzharaṱani nthihi na dziṅwe,Yindluxikatsa
Gemeenskaplike woonkamer,                       Construction                                          ,"Rooms that are used by several members of the household for common purposes or activities, e.g. eating, watching television or movies, sitting, etc.",Communal living rooms,Indawo yokuditjha ngendlini / Lindawo zomuntu woke ngekhaya,amagumbi asetyenziswa ngumntu wonke ohlala kuloo mzi,Amagumbi omndeni wonke,Diphapošibodulo tše di hlakanelwago,Dikamore / Diphaposi tse kopanetsweng,Diphapositlhakanelo,Indlu yawonkhewonkhe,Lufhera lwa muṱanganelwa / Lufhera lu shumiswaho nga miṱa minzhi,Tikamaraxinghwana
Verbruikerseenheid (vir huishouding),                       Construction                                          ,"An entity to which the service is / would be delivered, and which receives one bill if the service is billed; alternatively known as a delivery point.",Consumer unit (for household),Indawo yokuhlala,indlu ezisiwa kuyo i-akhawunti zeenkonzo,Indawo yokwamukela,Yuniti ya modiriši,Yuniti e ikemetseng,Yuniti ya modirisi,Sikhungo selwetfulolusito,Yuniti ya / Tshipiḓa tsha / Fhethu ha vhuṱanganedzatshumelo,Xiyenge xa vatirhisi (endyangwini)
Gesloopte woning,                       Construction                                          ,A dwelling that has been destroyed.,Demolished dwelling,Indawo yokuhlala ebhuruziweko / Egiriziweko,indawo yokuhlala echithiweyo/ediliziweyo,Indlu ebhidliziwe,Lešope / Lerope,Bodulo bo heleditsweng,Lerope / Lengwa / Letlotla,Indlu ledzilitiwe / Sakhiwo lesidzilitiwe / Lebhidlitiwe,Dumba,Vutshamo byo mbindzimuxiwa
Woning in aanbou,                       Construction                                       ,A dwelling unit that has not been built completely.,Dwelling under construction,Indawo yokuhlala esakhiwako,indawo yokuhlala esakhiwayo,Indlu esakhiwa,Moraka / Bodulo bjoo bo sa agiwago / Letlema,Bodulo bo ahwang,Bonnokagiwa,Sakhiwo lesisakhiwa,Ḓema / Muraga,Vutshamo le byi akiwaka
Hut,                       Construction                                       ,"A hut is one form of dwelling found mainly in non-urban (rural) areas, thus a round structure made of materials such as mud walls and thatch or grass roofs. Note: A hut may not necessarily be round; it may have any other shape.",Hut,Indlu yotjani / Indlu yesikhethu,"ungqu-phantsi, inqugwala",Iqhugwane,Ngwako wa bjang / Ntlo ya bjang,Mokgoro / Mohlongwafatshe,Mogwaafatshe / Motlaagana / Ntlwana,Indlu yetjani / Yesintfu / Gucasithandaze / Lilonto,"Nnḓu yo fhaṱiwaho nga mavu ya ṱhanga ya hatsi / ya mahayani / (sialala/mvelelo)
",Yindlu ya xintu
Ander struktuur,                       Construction                                       ,"All structures other than buildings. Inclusions: Highways, streets, roads, bridges, etc.",Other structures,Ezinye izakhiwo,ezinye izakhiwo,Ezinye izakhiwo,Dibopego tše dingwe,Meaho e meng,Dibopegodingwe,Letinye takhiwo,Dziṅwemveledziso dzi si dza zwifhaṱo,Swiakiwa swin’wana
Skakelhuis,                       Construction                                       ,One of two houses joined together with one common wall. Each house usually has its own private ground and has no other dwelling below or above it.,Semi-detached house,Indlu enamathelene nenye,indlu edibene nenye ngodonga,Indlu exhumene nenye,Ntlo ye e kgomaganego le ye nngwe,Matlo a kopantsweng ke lebota,Matlotshwaragano,Tindlu letehlukaniswe lubondza,Nnḓu yo ṱumanaho na iṅwe,Yindlu yo tiyimela yoxenyana
Spesiale woning,                       Construction                                        ,"Dwellings or structures not privately occupied by a household but rather by individuals with one or more common characteristics. Compare institution. Note: Occupants are usually provided with communal meals served from a common kitchen. Other facilities such as bathrooms and laundries are also shared. These dwellings include institutions such as hospitals, prisons, homes for special-care citizens (e.g. aged, disabled, juvenile offenders, etc.), boarding schools and some workers' hostels.",Special dwellings,Indawo yokuhlala ekhethekileko,iindawo zokuhlala ezikhethekileyo,Indawo yokukhoselisa,Madulo ao a ikgethilego,Bodulo bo kgethehileng,Mannokgethego,Inkopholo / Ihhositela,Vhudzulo ha tshipentshela / Vhudzulo ha ndivho nthihi,Vutshamo byo hlawuleka
Paal-en-kleiwerk / Lat-en-kleiwerk,                       Construction                                        ,A traditional construction method whereby walls are built with wooden sticks / poles and covered with mud or a mixture of mud and clay.,Wattle and daub,Ukwakha ngomthelo / Ngekghokgho,"umnyomfo, ukwakha ngezinti nodaka",Ukwakha ngezintungo nodaka,Mokgwa wa go aga mokutwana,Mohlongwafatshe,Dikota le Mmu,Kwakha ngeludzaka / Tindlu letibhadziwe,U fhaṱa nga basha na u nama,Dlhadlha
Antropometrie / Mensmeting,                        Demography                                        ,"Use of body measurements, such as height and weight, to determine a person’s nutritional status.",Anthropometrics,Isilinganiso sokondleka komuntu,ukukalwa komzimba kujongwa ubude nokondleka,Isilinganisokondleka,Antherophometheriki / Kelo ya maemo a phepo,Tekolo ya phepo ho ya ka seemo,Antheropometerekisi / Tekanyetsosemmele,Luhlolomphilo ngebudze nangesisindvo,Phimapfusho nga muvhili,Anthirophometiriki
Sensus,                        Demography                                        ,A survey conducted on the full set of observation objects belonging to a given population or universe.,Census,Ibalo labantu / Ukubalwa kwabantu,"ubalo lwabantu, ubalo-bantu",Ubalo,Palo ya batho / Sentshase,Sensase / Palo ya setjhaba,Tlhotlhomisapalo / Palagotlhe,Lubalo,Mbalavhathu,Sensasi / Nhlayelo
Lid van huishouding,                        Demography                                        ,"A person that resides with the household for at least four nights a week. Note: Exclusions:  Domestic workers, unless they are paid in kind.  Children at boarding school.",Household member,Ilunga lomkhaya / Lomuzi / Ilunga lomndeni,"amalungu ekhaya nachithe ubuncinci beentsuku ezine ngeveki belala kwelo khaya
",Amalungu omndeni,Maloko a lapa,Setho sa ntlong / Setho sa madulammoho,Badulammogo,Emalunga emndeni,Muraḓo wa muṱa,Xirho xa ndyangu
Veelvoudige huishoudings,                         Demography                                        ,Two or more households living in the same dwelling unit.,Multiple households,Umuzi omkhulu / Ikoponi,iintsapho zamakhaya ezihlala ndawonye,Imindeni ehlala ndawonye,Malapa a go dula mmogo,Bodulo ba diyuniting,Badulammogommalwa / Badulammogontsi,Imindeni lehlala ndzawonye,Miṱa nḓuni nthihi,Mindyangunyingi emutini
Verantwoordelike volwassene,                         Demography                                        ,If the household head is not available for an interview it is possible to speak to another responsible adult in the household.,Responsible adult,Ilihlo lekhaya,umntu omdala onoxanduva ongaphendula imibuzo,Ibambelanhloko yekhaya,Motho yo mogolo wa maikarabelo,Motho e moholo ya ikarabellang,Moikarabedi / Mogodi / Mothomogolo,Lomdzala longamela umndeni / Labadzala,Mualuwa a re na vhuḓifhinduleli / Muthu muhulwane a re na vhuḓifhinduleli,Ntswatsi wa vutihlamuleri
Toegang tot onderwys,                             Education                                     ,"The opening of the way, through legislation and a conductive environment, for everybody to gain access to opportunities that lead to some perceived benefits.",Access to education,Ukutholakala kwefundo,amathuba okufikelela kwimfundo,Ukufunda / Ukuthola imfundo,Phihlelelo ya thuto,Phihlello thutong,Phitlhelelothuto,Ematfuba ekufundza,Tswikelo kha pfunzo,Mfikelelo wa dyondzo
Basiese Onderwys en Opleiding vir Volwassenes (BOOV),                             Education                                     ,"All learning and training programmes for adults from levels 1 to 4, where ABET level 4 is equivalent to grade 9 in public schools, or a National Qualifications Framework level 1, as stipulated in the South African Qualifications Authority Act (Act 58 of 1995).",Adult Basic Education and Training,IFundosisekelo nokuBandulwa kwabaNtu abaKhulu,imfundo noqeqesho olusisiseko lwabadala,Imfundo Noqeqesho Okuyisisekelo Kwabadala,Thuto ya Motheo le Tlhahlo ya Batho ba Bagolo,Thuto ya Motheo le Kwetliso ya Batho ba Baholo,Thutotheo le katiso ya bagolo/bagodi,Imfundvosisekelo nekuceceshwa kwalabadzala,Pfunzo ya mutheo na vhugudisi ha vhaaluwa,Dyondzo ya Masungulo na Ndzetelo wa Lavakulu
Ouderdomspesifieke inskrywingsverhouding,                             Education                                     ,"Percentage of the population of a specific age enrolled, irrespective of the level of education.",Age-specific enrolment ratio,Iretjhiyo yokutlolisa ngokweminyaka,umlinganiselo wobhaliso ngokobudala obuthile,Isilinganiso sokubhalisela ukufunda ngokweminyaka,Rešio ya boingwadišo ya mengwaga ye e itšego,Reshiyo ya ba ingodiseditseng ho ithuta ho ya ka dilemo,Bolekanyetsitsenelototakgolo / Bolekanyetsiikwadisototakgolo,Silinganiso selinani lekubhalisa kwebafundzi ngekweminyaka yebudzala,Phimo ya u ṅwalisa ho sedzwa vhukale ho tewaho,Mpimoxiave wa ntsariso hi malembe
